,NAME_x,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,tract,block group,S0601_C01_047E,S1501_C01_006E,S1501_C01_014E,S1501_C01_015E,S2801_C01_001E,S2801_C01_002E,S2801_C01_012E,pct_white,pct_black,pct_native,pct_asian,pct_hisp,pct_other,median_income,pct_college,pct_hs_grad,pct_device_access,pct_internet_access,GEOID,GEOID_tract
23,"Block Group 2, Census Tract 4323, Alameda County, California",667,464,201,41,0,82,120,8,12,0,12,203,96,9,432300,2,38582,3248,2698,1184,1655,1557,1468,0.30134932533733133,0.06146926536731634,0.0,0.12293853073463268,0.30434782608695654,0.22788605697151423,38582,0.3645320197044335,0.8306650246305419,0.9407854984894259,0.8870090634441088,60014323002,6001432300
24,"Block Group 1, Census Tract 4326, Alameda County, California",1479,1149,325,142,0,562,0,12,108,0,108,330,81,0,432600,1,35802,5414,4534,1714,3036,2766,2566,0.21974306964164977,0.09601081812035159,0.0,0.37998647734956054,0.2231237322515213,0.15415821501014199,35802,0.3165866272626524,0.837458441078685,0.9110671936758893,0.8451910408432147,60014326001,6001432600
25,"Block Group 2, Census Tract 4326, Alameda County, California",1273,720,82,404,6,210,0,0,18,0,18,553,323,0,432600,2,35802,5414,4534,1714,3036,2766,2566,0.06441476826394343,0.3173605655930872,0.004713275726630008,0.16496465043205027,0.4344069128043991,0.028279654359780047,35802,0.3165866272626524,0.837458441078685,0.9110671936758893,0.8451910408432147,60014326002,6001432600
26,"Block Group 4, Census Tract 4326, Alameda County, California",1177,932,535,76,0,295,0,0,26,0,26,245,32,0,432600,4,35802,5414,4534,1714,3036,2766,2566,0.45454545454545453,0.06457094307561598,0.0,0.2506372132540357,0.20815632965165676,0.044180118946474084,35802,0.3165866272626524,0.837458441078685,0.9110671936758893,0.8451910408432147,60014326004,6001432600
27,"Block Group 3, Census Tract 4326, Alameda County, California",1053,630,257,119,33,203,0,0,18,0,18,423,154,0,432600,3,35802,5414,4534,1714,3036,2766,2566,0.24406457739791074,0.11301044634377967,0.03133903133903134,0.19278252611585944,0.4017094017094017,0.03418803418803419,35802,0.3165866272626524,0.837458441078685,0.9110671936758893,0.8451910408432147,60014326003,6001432600
28,"Block Group 5, Census Tract 4326, Alameda County, California",2061,1475,592,289,10,488,48,0,48,0,48,586,381,0,432600,5,35802,5414,4534,1714,3036,2766,2566,0.28723920426977195,0.14022319262493935,0.0048520135856380394,0.23677826297913634,0.28432799611838916,0.06986899563318777,35802,0.3165866272626524,0.837458441078685,0.9110671936758893,0.8451910408432147,60014326005,6001432600
29,"Block Group 2, Census Tract 4005, Alameda County, California",833,778,292,103,0,133,0,0,250,0,250,55,55,0,400500,2,48750,3009,2940,2046,1606,1573,1520,0.3505402160864346,0.12364945978391356,0.0,0.15966386554621848,0.06602641056422569,0.6002400960384153,48750,0.6799601196410767,0.9770687936191426,0.9794520547945206,0.9464508094645081,60014005002,6001400500
30,"Block Group 3, Census Tract 4005, Alameda County, California",583,557,338,124,0,75,0,0,20,20,0,26,13,0,400500,3,48750,3009,2940,2046,1606,1573,1520,0.5797598627787307,0.21269296740994853,0.0,0.12864493996569468,0.044596912521440824,0.0686106346483705,48750,0.6799601196410767,0.9770687936191426,0.9794520547945206,0.9464508094645081,60014005003,6001400500
31,"Block Group 1, Census Tract 4005, Alameda County, California",2708,2399,1244,655,0,238,22,6,234,0,234,309,94,0,400500,1,48750,3009,2940,2046,1606,1573,1520,0.45937961595273263,0.24187592319054652,0.0,0.0878877400295421,0.11410635155096012,0.1831610044313146,48750,0.6799601196410767,0.9770687936191426,0.9794520547945206,0.9464508094645081,60014005001,6001400500
32,"Block Group 2, Census Tract 4016, Alameda County, California",1029,922,263,494,0,136,4,0,25,0,25,107,35,0,401600,2,37450,1755,1532,769,896,803,695,0.2555879494655005,0.4800777453838678,0.0,0.13216715257531583,0.10398445092322643,0.052478134110787174,37450,0.43817663817663816,0.8729344729344729,0.8962053571428571,0.7756696428571429,60014016002,6001401600
33,"Block Group 1, Census Tract 4016, Alameda County, California",1260,908,393,328,0,103,17,0,67,0,67,352,125,0,401600,1,37450,1755,1532,769,896,803,695,0.3119047619047619,0.26031746031746034,0.0,0.08174603174603175,0.27936507936507937,0.11984126984126985,37450,0.43817663817663816,0.8729344729344729,0.8962053571428571,0.7756696428571429,60014016001,6001401600
34,"Block Group 2, Census Tract 4025, Alameda County, California",758,659,0,558,0,101,0,0,0,0,0,99,7,14,402500,2,20393,1105,940,243,734,631,603,0.0,0.7361477572559367,0.0,0.13324538258575197,0.13060686015831136,0.0,20393,0.21990950226244343,0.8506787330316742,0.8596730245231607,0.8215258855585831,60014025002,6001402500
35,"Block Group 1, Census Tract 4025, Alameda County, California",1023,859,194,482,0,136,0,0,47,0,47,164,10,11,402500,1,20393,1105,940,243,734,631,603,0.18963831867057673,0.47116324535679377,0.0,0.13294232649071358,0.1603128054740958,0.09188660801564028,20393,0.21990950226244343,0.8506787330316742,0.8596730245231607,0.8215258855585831,60014025001,6001402500
